user_id,email,username,first_name,last_name,phone,city,street,zipcode,lat,lon,full_name,email_domain,customer_segment,ingested_at,total_orders,total_items,total_spent,avg_order_val,last_order_dt,days_since_last_order,rfm_score
1,john.doe@gmail.com,johnd,john,doe,1-570-236-7033,kilsyth,7835 new road,12926-3874,-37.3159,81.1496,John Doe,gmail.com,Regular,2026-05-31T16:18:30.658935,2,14,906.64,181.33,2026-04-23 16:18:30,38,2.7
2,morrison@gmail.com,mor_2314,david,morrison,1-570-236-7033,killsyth,7267 cather permit,12915-1619,-37.3159,81.1496,David Morrison,gmail.com,VIP,2026-05-31T16:18:30.658935,2,6,1599.84,399.96,2025-06-16 16:18:30,349,3.1
3,kate@gmail.com,kevinryan,kate,hale,1-567-094-1345,Cullman,76 main st,29567-1452,40.3467,-30.131,Kate Hale,gmail.com,Regular,2026-05-31T16:18:30.658935,2,8,2413.86,402.31,2026-03-29 16:18:30,63,3.7
4,derek@gmail.com,derekhaven,derek,haven,1-699-370-4989,San Antonio,42 park road,12924-3867,34.3516,-86.2757,Derek Haven,gmail.com,Regular,2026-05-31T16:18:30.658935,1,4,1852.99,926.5,2025-10-03 16:18:30,240,2.7
5,miriam@gmail.com,miriam_27,miriam,telloli,1-858-452-5634,El Paso,835 dolores st,98234-1734,38.098,22.299,Miriam Telloli,gmail.com,New,2026-05-31T16:18:30.658935,2,7,1229.97,245.99,2026-01-02 16:18:30,149,3.0
6,david_42@gmail.com,david42,david,cummings,1-234-516-9381,New York,1709 mulberry ln,10280,40.7128,-74.006,David Cummings,gmail.com,New,2026-05-31T16:18:30.658935,2,9,996.0,199.2,2025-08-10 16:18:30,294,2.3
7,madison@gmail.com,madison,madison,dolan,1-213-998-4321,Los Angeles,456 sunset blvd,90028,34.0522,-118.2437,Madison Dolan,gmail.com,New,2026-05-31T16:18:30.658935,1,4,176.96,88.48,2025-07-22 16:18:30,313,1.0
8,william@gmail.com,williamLee,william,lee,1-312-888-9374,Chicago,222 n clark st,60601,41.8781,-87.6298,William Lee,gmail.com,VIP,2026-05-31T16:18:30.658935,1,11,117.11,39.04,2026-05-12 16:18:30,19,1.6
9,emily_rose@gmail.com,em_rose,emily,rose,1-713-445-2231,Houston,100 main st,77002,29.7604,-95.3698,Emily Rose,gmail.com,Regular,2026-05-31T16:18:30.658935,1,5,98.88,49.44,2026-03-06 16:18:30,86,1.4
10,carlos_v@gmail.com,carlosv,carlos,vega,1-602-774-3312,Phoenix,300 e washington,85004,33.4484,-112.074,Carlos Vega,gmail.com,VIP,2026-05-31T16:18:30.658935,1,2,1598.99,799.5,2025-07-14 16:18:30,321,2.0
